img_path,video_path,cate,modality,label
top14-part1/valuableset/images/599951167335161897.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161898.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161899.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161900.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161901.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161902.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161903.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161904.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167335161905.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356160.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356161.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356162.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356163.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356164.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356165.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356166.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356167.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356168.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356169.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356170.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356171.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
top14-part1/valuableset/images/599951167339356172.jpg,xuebao/videos/00024.AVI,xuebao,RGB,train
